Gen.;Aptitud Media;Aptitud Peor;Aptitud Mejor;Individuo
0;4259,98082;7158,53599; -4,13636
1;3871,86744;6650,66310; -4,13636
2;3577,42117;5698,73782; -4,13636
3;3412,45915;5676,11676; -4,13636
4;3259,81574;5098,79644; -4,13636
5;3077,67632;4161,29176; -4,13636
6;2661,44407;4149,68264; -4,13636
7;2558,06326;4138,09020; -4,13636
8;2488,77671;3617,22791; -4,13636
9;2195,70395;3445,22473; -4,13636
10;2170,79442;3277,40219; -4,13636
11;1930,00337;3277,40219; -4,13636
12;1852,13162;3196,12943; -4,13636
13;1601,16871;3115,87454; -4,13636
14;1358,23128;3009,30284; -4,13636
15;1134,83342;2651,81505; -4,13636
16;942,67634;2498,68476; -4,13636
17;774,98186;2498,68476; -4,13636
18;550,33499;869,49168; -4,13636
19;534,20636;821,74002; -4,13636
20;522,85289;775,32424; -4,13636
21;516,14099;730,24425; -4,13636
22;513,93710;708,20531; -4,13636
23;512,84768;708,20531; -4,13636
24;511,75825;708,20531; -4,13636
25;510,12724;708,20531; -4,13636
26;508,76676;697,31108; -4,13636
27;506,45107;697,31108; -4,13636
28;505,02199;694,60052; -4,13636
29;479,60502;686,50025; -4,13636
30;479,60502;686,50025; -4,13636
